Year,NBA Revenue (Billions of $)
2001/02,2.66
2002/03,2.72
2003/04,2.93
2004/05**,3.19
2005/06,3.37
2006/07,3.57
2007/08,3.77
2008/09,3.79
2009/10,3.81
2010/11,3.96
2011/12,3.68
2012/13,4.56
2013/14,4.79
2014/15,5.18
2015/16,5.87
2016/17,7.37
2017/18,8.01
