Year,Team,Player,Salary,
2017,Atlanta Hawks,Dwight Howard,231.80,
2017,Atlanta Hawks,Paul Millsap,200.72,
2017,Atlanta Hawks,Kent Bazemore,157.30,
2017,Atlanta Hawks,Tiago Splitter,85.50,
2017,Atlanta Hawks,Kyle Korver,52.39,
2017,Atlanta Hawks,Kris Humphries,40.00,
2017,Atlanta Hawks,Thabo Sefolosha,38.50,
2017,Atlanta Hawks,Mike Scott,33.33,
2017,Atlanta Hawks,Dennis Schroder,27.09,
2017,Atlanta Hawks,Malcolm Delaney,25.00,
2017,Atlanta Hawks,Tim Hardaway Jr.,22.82,
2017,Atlanta Hawks,Mike Muscala,10.16,
2017,Atlanta Hawks,Edy Tavares,10.00,
2017,Atlanta Hawks,Jarrett Jack,9.80,
2017,Atlanta Hawks,Ryan Kelly,9.80,
2017,Atlanta Hawks,Matt Costello,0.50,
2017,Boston Celtics,Al Horford,265.40,
2017,Boston Celtics,Amir Johnson,120.00,
2017,Boston Celtics,Avery Bradley,82.70,
2017,Boston Celtics,Tyler Zeller,80.00,
2017,Boston Celtics,Isaiah Thomas,65.87,
2017,Boston Celtics,Jae Crowder,62.86,
2017,Boston Celtics,Jonas Jerebko,50.00,
2017,Boston Celtics,Marcus Smart,35.79,
2017,Boston Celtics,Kelly Olynyk,30.94,
2017,Boston Celtics,Terry Rozier,19.06,
2017,Boston Celtics,James Young,18.25,
2017,Boston Celtics,Gerald Green,14.11,
2017,Boston Celtics,Jordan Mickey,12.24,
2017,Boston Celtics,R.J. Hunter,12.00,
2017,Boston Celtics,Ben Bentil,2.50,
2017,Boston Celtics,Damion Lee,0.50,
2017,Boston Celtics,Jalen Jones,0.25,
2017,Boston Celtics,Marcus Georges-Hunt,0.25,
2017,Brooklyn Nets,Brook Lopez,211.66,
2017,Brooklyn Nets,Jeremy Lin,114.83,
2017,Brooklyn Nets,Trevor Booker,92.50,
2017,Brooklyn Nets,Luis Scola,55.00,
2017,Brooklyn Nets,Deron Williams,54.75,
2017,Brooklyn Nets,Greivis Vasquez,43.48,
2017,Brooklyn Nets,Bojan Bogdanovic,35.73,
2017,Brooklyn Nets,Justin Hamilton,30.00,
2017,Brooklyn Nets,Randy Foye,25.00,
2017,Brooklyn Nets,Rondae Hollis-Jefferson,13.96,
2017,Brooklyn Nets,Chris McCullough,11.91,
2017,Brooklyn Nets,Anthony Bennett,10.16,
2017,Brooklyn Nets,Joe Harris,9.80,
2017,Brooklyn Nets,Sean Kilpatrick,9.80,
2017,Brooklyn Nets,Jarrett Jack,5.00,
2017,Brooklyn Nets,Andrea Bargnani,3.24,
2017,Brooklyn Nets,Egidijus Mockevicius,1.00,
2017,Brooklyn Nets,Yogi Ferrell,1.00,
2017,Brooklyn Nets,Beau Beech,0.45,
2017,Charlotte Hornets,Nicolas Batum,208.70,
2017,Charlotte Hornets,Michael Kidd-Gilchrist,130.00,
2017,Charlotte Hornets,Marvin Williams,122.50,
2017,Charlotte Hornets,Kemba Walker,120.00,
2017,Charlotte Hornets,Jeremy Lamb,65.12,
2017,Charlotte Hornets,Spencer Hawes,63.49,
2017,Charlotte Hornets,Marco Belinelli,63.33,
2017,Charlotte Hornets,Ramon Sessions,60.00,
2017,Charlotte Hornets,Cody Zeller,53.18,
2017,Charlotte Hornets,Roy Hibbert,50.00,
2017,Charlotte Hornets,Frank Kaminsky,27.30,
2017,Charlotte Hornets,Brian Roberts,10.51,
2017,Charlotte Hornets,Aaron Harrison,8.75,
2017,Charlotte Hornets,Christian Wood,8.75,
2017,Charlotte Hornets,Treveon Graham,5.43,
2017,Charlotte Hornets,Mike Tobey,0.75,
2017,Chicago Bulls,Dwyane Wade,232.00,
2017,Chicago Bulls,Jimmy Butler,175.52,
2017,Chicago Bulls,Rajon Rondo,140.00,
2017,Chicago Bulls,Robin Lopez,132.19,
2017,Chicago Bulls,Taj Gibson,89.50,
2017,Chicago Bulls,Nikola Mirotic,57.82,
2017,Chicago Bulls,Michael Carter-Williams,31.84,
2017,Chicago Bulls,Doug McDermott,24.83,
2017,Chicago Bulls,Jerian Grant,16.43,
2017,Chicago Bulls,Bobby Portis,14.54,
2017,Chicago Bulls,Isaiah Canaan,10.16,
2017,Chicago Bulls,Cristiano Felicio,8.75,
2017,Chicago Bulls,R.J. Hunter,8.64,
2017,Chicago Bulls,Thomas Walkup,0.70,
2017,Cleveland Cavaliers,LeBron James,309.63,
2017,Cleveland Cavaliers,Kevin Love,211.66,
2017,Cleveland Cavaliers,Kyrie Irving,176.38,
2017,Cleveland Cavaliers,Tristan Thompson,153.30,
2017,Cleveland Cavaliers,J.R. Smith,128.00,
2017,Cleveland Cavaliers,Iman Shumpert,96.63,
2017,Cleveland Cavaliers,Channing Frye,78.07,
2017,Cleveland Cavaliers,Mike Dunleavy,48.38,
2017,Cleveland Cavaliers,Richard Jefferson,25.00,
2017,Cleveland Cavaliers,Mo Williams,21.95,
2017,Cleveland Cavaliers,Chris Andersen,15.52,
2017,Cleveland Cavaliers,James Jones,15.52,
2017,Cleveland Cavaliers,DeAndre Liggins,10.16,
2017,Cleveland Cavaliers,Jordan McRae,8.75,
2017,Cleveland Cavaliers,Kay Felder,5.43,
2017,Cleveland Cavaliers,Dahntay Jones,0.18,
2017,Dallas Mavericks,Dirk Nowitzki,250.00,
2017,Dallas Mavericks,Harrison Barnes,221.17,
2017,Dallas Mavericks,Wesley Matthews,171.46,
2017,Dallas Mavericks,Andrew Bogut,110.27,
2017,Dallas Mavericks,Deron Williams,90.00,
2017,Dallas Mavericks,Dwight Powell,83.75,
2017,Dallas Mavericks,Devin Harris,42.28,
2017,Dallas Mavericks,J.J. Barea,40.97,
2017,Dallas Mavericks,Seth Curry,28.98,
2017,Dallas Mavericks,Justin Anderson,15.14,
2017,Dallas Mavericks,Quincy Acy,10.51,
2017,Dallas Mavericks,Salah Mejri,8.75,
2017,Dallas Mavericks,Dorian Finney-Smith,5.43,
2017,Dallas Mavericks,Jonathan Gibson,5.43,
2017,Dallas Mavericks,Nicolas Brussino,5.43,
2017,Dallas Mavericks,Maurice Ndour,4.37,
2017,Dallas Mavericks,Gal Mekel,3.16,
2017,Dallas Mavericks,Kyle Collinsworth,0.70,
2017,Dallas Mavericks,Jameel Warney,0.20,
2017,Denver Nuggets,Danilo Gallinari,150.50,
2017,Denver Nuggets,Kenneth Faried,120.79,
2017,Denver Nuggets,Wilson Chandler,112.33,
2017,Denver Nuggets,Darrell Arthur,80.70,
2017,Denver Nuggets,Jameer Nelson,45.41,
2017,Denver Nuggets,Will Barton,35.33,
2017,Denver Nuggets,Mike Miller,35.00,
2017,Denver Nuggets,Emmanuel Mudiay,32.42,
2017,Denver Nuggets,Jusuf Nurkic,19.21,
2017,Denver Nuggets,Gary Harris,16.56,
2017,Denver Nuggets,Nikola Jokic,13.59,
2017,Denver Nuggets,Jarnell Stokes,9.80,
2017,Denver Nuggets,Nick Johnson,9.80,
2017,Denver Nuggets,Robbie Hummel,1.50,
2017,Denver Nuggets,D.J. Kennedy,0.50,
2017,Denver Nuggets,Nate Wolters,0.50,
2017,Detroit Pistons,Andre Drummond,221.17,
2017,Detroit Pistons,Tobias Harris,172.00,
2017,Detroit Pistons,Reggie Jackson,149.57,
2017,Detroit Pistons,Jon Leuer,109.92,
2017,Detroit Pistons,Boban Marjanovic,70.00,
2017,Detroit Pistons,Aron Baynes,65.00,
2017,Detroit Pistons,Ish Smith,60.00,
2017,Detroit Pistons,Josh Smith,53.32,
2017,Detroit Pistons,Marcus Morris,46.25,
2017,Detroit Pistons,Kentavious Caldwell-Pope,36.78,
2017,Detroit Pistons,Stanley Johnson,29.70,
2017,Detroit Pistons,Reggie Bullock,22.56,
2017,Detroit Pistons,Beno Udrih,15.52,
2017,Detroit Pistons,Darrun Hilliard,8.75,
2017,Detroit Pistons,Nikola Jovanovic,0.30,
2017,Detroit Pistons,Trey Freeman,0.25,
2017,Detroit Pistons,Ray McCallum,0.12,
2017,Golden State Warriors,Kevin Durant,265.40,
2017,Golden State Warriors,Klay Thompson,166.64,
2017,Golden State Warriors,Draymond Green,153.30,
2017,Golden State Warriors,Stephen Curry,121.12,
2017,Golden State Warriors,Andre Iguodala,111.31,
2017,Golden State Warriors,Shaun Livingston,57.82,
2017,Golden State Warriors,Zaza Pachulia,28.98,
2017,Golden State Warriors,Anderson Varejao,15.52,
2017,Golden State Warriors,David West,15.52,
2017,Golden State Warriors,JaVale McGee,14.04,
2017,Golden State Warriors,Kevon Looney,11.83,
2017,Golden State Warriors,Ian Clark,10.16,
2017,Golden State Warriors,James Michael McAdoo,9.80,
2017,Golden State Warriors,Jason Thompson,9.45,
2017,Golden State Warriors,Elliot Williams,2.50,
2017,Golden State Warriors,Cameron Jones,0.50,
2017,Golden State Warriors,Elgin Cook,0.50,
2017,Golden State Warriors,Scott Wood,0.50,
2017,Golden State Warriors,Phil Pressey,0.35,
2017,Houston Rockets,James Harden,265.40,
2017,Houston Rockets,Ryan Anderson,187.35,
2017,Houston Rockets,Eric Gordon,123.86,
2017,Houston Rockets,Trevor Ariza,78.07,
2017,Houston Rockets,Corey Brewer,76.12,
2017,Houston Rockets,Patrick Beverley,60.00,
2017,Houston Rockets,K.J. McDaniels,33.33,
2017,Houston Rockets,Nene Hilario,28.98,
2017,Houston Rockets,Tyler Ennis,17.34,
2017,Houston Rockets,Sam Dekker,17.21,
2017,Houston Rockets,Clint Capela,12.96,
2017,Houston Rockets,Pablo Prigioni,10.51,
2017,Houston Rockets,Montrezl Harrell,10.45,
2017,Houston Rockets,Bobby Brown,9.80,
2017,Houston Rockets,Gary Payton II,5.43,
2017,Houston Rockets,Kyle Wiltjer,5.43,
2017,Houston Rockets,Isaiah Taylor,0.50,
2017,Houston Rockets,P.J. Hairston,0.12,
2017,Indiana Pacers,Paul George,183.15,
2017,Indiana Pacers,Thaddeus Young,141.54,
2017,Indiana Pacers,Monta Ellis,107.64,
2017,Indiana Pacers,Al Jefferson,102.30,
2017,Indiana Pacers,Jeff Teague,88.00,
2017,Indiana Pacers,Rodney Stuckey,70.00,
2017,Indiana Pacers,C.J. Miles,45.83,
2017,Indiana Pacers,Lavoy Allen,40.00,
2017,Indiana Pacers,Aaron Brooks,27.00,
2017,Indiana Pacers,Myles Turner,24.64,
2017,Indiana Pacers,Kevin Seraphin,18.00,
2017,Indiana Pacers,Jeremy Evans,12.27,
2017,Indiana Pacers,Joe Young,10.52,
2017,Indiana Pacers,Rakeem Christmas,10.52,
2017,Indiana Pacers,Glenn Robinson III,10.51,
2017,Indiana Pacers,Ben Bentil,0.50,
2017,Indiana Pacers,Julyan Stone,0.50,
2017,Indiana Pacers,Alex Poythress,0.35,
2017,Indiana Pacers,Nick Zeisloft,0.25,
2017,Los Angeles Clippers,Chris Paul,228.69,
2017,Los Angeles Clippers,DeAndre Jordan,211.66,
2017,Los Angeles Clippers,Blake Griffin,201.41,
2017,Los Angeles Clippers,Jamal Crawford,132.53,
2017,Los Angeles Clippers,Austin Rivers,110.00,
2017,Los Angeles Clippers,J.J. Redick,73.78,
2017,Los Angeles Clippers,Wesley Johnson,56.28,
2017,Los Angeles Clippers,Paul Pierce,35.28,
2017,Los Angeles Clippers,Luc Mbah a Moute,22.03,
2017,Los Angeles Clippers,Brandon Bass,15.52,
2017,Los Angeles Clippers,Raymond Felton,15.52,
2017,Los Angeles Clippers,Marreese Speights,14.04,
2017,Los Angeles Clippers,Alan Anderson,13.15,
2017,Los Angeles Clippers,Carlos Delfino,6.50,
2017,Los Angeles Clippers,Jordan Farmar,5.11,
2017,Los Angeles Clippers,Miroslav Raduljica,2.52,
2017,Los Angeles Lakers,Luol Deng,180.00,
2017,Los Angeles Lakers,Timofey Mozgov,160.00,
2017,Los Angeles Lakers,Jordan Clarkson,125.00,
2017,Los Angeles Lakers,Jose Calderon,77.08,
2017,Los Angeles Lakers,Lou Williams,70.00,
2017,Los Angeles Lakers,Tarik Black,61.91,
2017,Los Angeles Lakers,Nick Young,54.44,
2017,Los Angeles Lakers,D'Angelo Russell,53.33,
2017,Los Angeles Lakers,Julius Randle,32.67,
2017,Los Angeles Lakers,Metta World Peace,15.52,
2017,Los Angeles Lakers,Marcelo Huertas,15.00,
2017,Los Angeles Lakers,Larry Nance Jr.,12.08,
2017,Los Angeles Lakers,Thomas Robinson,10.51,
2017,Los Angeles Lakers,Anthony Brown,8.75,
2017,Los Angeles Lakers,Yi Jianlian,2.50,
2017,Los Angeles Lakers,Zach Auguste,0.60,
2017,Memphis Grizzlies,Mike Conley,265.40,
2017,Memphis Grizzlies,Chandler Parsons,221.17,
2017,Memphis Grizzlies,Marc Gasol,211.66,
2017,Memphis Grizzlies,Zach Randolph,103.61,
2017,Memphis Grizzlies,Brandan Wright,57.10,
2017,Memphis Grizzlies,Tony Allen,55.06,
2017,Memphis Grizzlies,Vince Carter,42.64,
2017,Memphis Grizzlies,Troy Daniels,33.33,
2017,Memphis Grizzlies,James Ennis,28.98,
2017,Memphis Grizzlies,Jarell Martin,12.86,
2017,Memphis Grizzlies,Jordan Adams,12.21,
2017,Memphis Grizzlies,JaMychal Green,9.80,
2017,Memphis Grizzlies,Andrew Harrison,9.45,
2017,Memphis Grizzlies,Troy Williams,5.43,
2017,Memphis Grizzlies,Jamaal Franklin,1.63,
2017,Memphis Grizzlies,D.J. Stephens,0.35,
2017,Memphis Grizzlies,Matt Costello,0.32,
2017,Memphis Grizzlies,Tony Wroten,0.25,
2017,Miami Heat,Chris Bosh,237.41,
2017,Miami Heat,Hassan Whiteside,221.17,
2017,Miami Heat,Goran Dragic,158.92,
2017,Miami Heat,Wayne Ellington,60.00,
2017,Miami Heat,Josh McRoberts,57.82,
2017,Miami Heat,Tyler Johnson,56.28,
2017,Miami Heat,Derrick Williams,45.98,
2017,Miami Heat,James Johnson,40.00,
2017,Miami Heat,Udonis Haslem,40.00,
2017,Miami Heat,Dion Waiters,28.98,
2017,Miami Heat,Justise Winslow,25.93,
2017,Miami Heat,Luke Babbitt,12.27,
2017,Miami Heat,Willie Reed,10.16,
2017,Miami Heat,Josh Richardson,8.75,
2017,Miami Heat,Rodney McGruder,5.43,
2017,Miami Heat,Briante Weber,3.28,
2017,Miami Heat,Okaro White,1.00,
2017,Miami Heat,Stefan Jankovic,1.00,
2017,Miami Heat,Keith Benson,0.75,
2017,Milwaukee Bucks,Greg Monroe,171.46,
2017,Milwaukee Bucks,Khris Middleton,152.00,
2017,Milwaukee Bucks,Miles Plumlee,125.00,
2017,Milwaukee Bucks,John Henson,122.68,
2017,Milwaukee Bucks,Mirza Teletovic,105.00,
2017,Milwaukee Bucks,Matthew Dellavedova,96.08,
2017,Milwaukee Bucks,Jabari Parker,53.74,
2017,Milwaukee Bucks,Giannis Antetokounmpo,29.95,
2017,Milwaukee Bucks,Tony Snell,23.68,
2017,Milwaukee Bucks,Larry Sanders,18.66,
2017,Milwaukee Bucks,Rashad Vaughn,18.11,
2017,Milwaukee Bucks,Jason Terry,15.52,
2017,Milwaukee Bucks,Steve Novak,15.52,
2017,Milwaukee Bucks,Michael Beasley,14.04,
2017,Minnesota Timberwolves,Ricky Rubio,135.50,
2017,Minnesota Timberwolves,Nikola Pekovic,121.00,
2017,Minnesota Timberwolves,Kevin Garnett,80.00,
2017,Minnesota Timberwolves,Cole Aldrich,76.44,
2017,Minnesota Timberwolves,Andrew Wiggins,60.07,
2017,Minnesota Timberwolves,Karl-Anthony Towns,59.60,
2017,Minnesota Timberwolves,Jordan Hill,40.00,
2017,Minnesota Timberwolves,Nemanja Bjelica,38.00,
2017,Minnesota Timberwolves,Brandon Rush,35.00,
2017,Minnesota Timberwolves,Shabazz Muhammad,30.46,
2017,Minnesota Timberwolves,Gorgui Dieng,23.49,
2017,Minnesota Timberwolves,Zach LaVine,22.41,
2017,Minnesota Timberwolves,Adreian Payne,20.22,
2017,Minnesota Timberwolves,John Lucas III,14.04,
2017,Minnesota Timberwolves,Kevin Martin,13.60,
2017,Minnesota Timberwolves,Tyus Jones,13.40,
2017,New Orleans Pelicans,Anthony Davis,221.17,
2017,New Orleans Pelicans,Jrue Holiday,112.87,
2017,New Orleans Pelicans,Solomon Hill,112.41,
2017,New Orleans Pelicans,Tyreke Evans,102.04,
2017,New Orleans Pelicans,Omer Asik,99.04,
2017,New Orleans Pelicans,E'Twaun Moore,80.81,
2017,New Orleans Pelicans,Langston Galloway,52.00,
2017,New Orleans Pelicans,Alexis Ajinca,46.38,
2017,New Orleans Pelicans,Quincy Pondexter,36.18,
2017,New Orleans Pelicans,Dante Cunningham,29.78,
2017,New Orleans Pelicans,Tim Frazier,20.90,
2017,New Orleans Pelicans,Alonzo Gee,14.00,
2017,New Orleans Pelicans,Lance Stephenson,12.27,
2017,New Orleans Pelicans,Terrence Jones,10.51,
2017,New York Knicks,Carmelo Anthony,245.59,
2017,New York Knicks,Derrick Rose,213.23,
2017,New York Knicks,Joakim Noah,170.00,
2017,New York Knicks,Courtney Lee,112.42,
2017,New York Knicks,Lance Thomas,61.91,
2017,New York Knicks,Brandon Jennings,50.00,
2017,New York Knicks,Kristaps Porzingis,43.18,
2017,New York Knicks,Kyle O'Quinn,39.19,
2017,New York Knicks,Mindaugas Kuzminskas,28.98,
2017,New York Knicks,Sasha Vujacic,14.11,
2017,New York Knicks,Willy Hernangomez,13.75,
2017,New York Knicks,Justin Holiday,10.16,
2017,New York Knicks,Lou Amundson,9.80,
2017,New York Knicks,Marshall Plumlee,5.43,
2017,New York Knicks,Maurice Ndour,5.43,
2017,New York Knicks,Ron Baker,5.43,
2017,New York Knicks,Chasson Randle,1.00,
2017,New York Knicks,J.P. Tokoto,1.00,
2017,Oklahoma City Thunder,Russell Westbrook,265.40,
2017,Oklahoma City Thunder,Enes Kanter,171.46,
2017,Oklahoma City Thunder,Victor Oladipo,65.53,
2017,Oklahoma City Thunder,Alex Abrines,59.95,
2017,Oklahoma City Thunder,Kyle Singler,48.38,
2017,Oklahoma City Thunder,Nick Collison,37.50,
2017,Oklahoma City Thunder,Anthony Morrow,34.88,
2017,Oklahoma City Thunder,Steven Adams,31.41,
2017,Oklahoma City Thunder,Ronnie Price,25.58,
2017,Oklahoma City Thunder,Andre Roberson,21.83,
2017,Oklahoma City Thunder,Cameron Payne,21.12,
2017,Oklahoma City Thunder,Joffrey Lauvergne,17.10,
2017,Oklahoma City Thunder,Mitch McGary,15.26,
2017,Oklahoma City Thunder,Josh Huestis,11.91,
2017,Oklahoma City Thunder,Jerami Grant,9.80,
2017,Oklahoma City Thunder,Semaj Christon,5.43,
2017,Oklahoma City Thunder,Chris Wright,1.00,
2017,Oklahoma City Thunder,Kaleb Tarczewski,0.75,
2017,Oklahoma City Thunder,Alex Caruso,0.50,
2017,Oklahoma City Thunder,Reggie Williams,0.50,
2017,Orlando Magic,Bismack Biyombo,170.00,
2017,Orlando Magic,Evan Fournier,170.00,
2017,Orlando Magic,Jeff Green,150.00,
2017,Orlando Magic,Serge Ibaka,122.50,
2017,Orlando Magic,Nikola Vucevic,117.50,
2017,Orlando Magic,D.J. Augustin,72.50,
2017,Orlando Magic,Jodie Meeks,65.40,
2017,Orlando Magic,C.J. Watson,50.00,
2017,Orlando Magic,Aaron Gordon,43.51,
2017,Orlando Magic,Mario Hezonja,39.10,
2017,Orlando Magic,Elfrid Payton,26.14,
2017,Orlando Magic,C.J. Wilcox,12.10,
2017,Orlando Magic,Arinze Onuaku,9.80,
2017,Orlando Magic,Damjan Rudez,9.80,
2017,Philadelphia 76ers,Jerryd Bayless,94.24,
2017,Philadelphia 76ers,Gerald Henderson,90.00,
2017,Philadelphia 76ers,Ersan Ilyasova,84.00,
2017,Philadelphia 76ers,Sergio Rodriguez,80.00,
2017,Philadelphia 76ers,Carl Landry,65.00,
2017,Philadelphia 76ers,Joel Embiid,48.26,
2017,Philadelphia 76ers,Jahlil Okafor,47.89,
2017,Philadelphia 76ers,Nerlens Noel,43.84,
2017,Philadelphia 76ers,Tibor Pleiss,30.00,
2017,Philadelphia 76ers,Nik Stauskas,29.93,
2017,Philadelphia 76ers,Dario Saric,23.18,
2017,Philadelphia 76ers,Sasha Kaun,13.33,
2017,Philadelphia 76ers,Richaun Holmes,10.26,
2017,Philadelphia 76ers,Hollis Thompson,10.16,
2017,Philadelphia 76ers,Robert Covington,10.16,
2017,Philadelphia 76ers,Elton Brand,9.80,
2017,Philadelphia 76ers,T.J. McConnell,8.75,
2017,Philadelphia 76ers,Brandon Paul,1.55,
2017,Philadelphia 76ers,James Webb,0.65,
2017,Philadelphia 76ers,Shawn Long,0.65,
2017,Philadelphia 76ers,Cat Barber,0.50,
2017,Philadelphia 76ers,Dionte Christmas,0.50,
2017,Phoenix Suns,Eric Bledsoe,140.00,
2017,Phoenix Suns,Brandon Knight,126.06,
2017,Phoenix Suns,Tyson Chandler,124.15,
2017,Phoenix Suns,Jared Dudley,104.70,
2017,Phoenix Suns,P.J. Tucker,53.00,
2017,Phoenix Suns,Alex Len,48.24,
2017,Phoenix Suns,Leandro Barbosa,40.00,
2017,Phoenix Suns,Devin Booker,22.24,
2017,Phoenix Suns,T.J. Warren,21.29,
2017,Phoenix Suns,Archie Goodwin,20.94,
2017,Phoenix Suns,John Jenkins,10.51,
2017,Phoenix Suns,Alan Williams,8.75,
2017,Phoenix Suns,Michael Beasley,7.78,
2017,Phoenix Suns,Derrick Jones,5.43,
2017,Portland Trailblazers,Damian Lillard,243.28,
2017,Portland Trailblazers,Allen Crabbe,185.00,
2017,Portland Trailblazers,Evan Turner,163.93,
2017,Portland Trailblazers,Meyers Leonard,92.13,
2017,Portland Trailblazers,Maurice Harkless,89.89,
2017,Portland Trailblazers,Al-Farouq Aminu,76.81,
2017,Portland Trailblazers,Festus Ezeli,74.00,
2017,Portland Trailblazers,Ed Davis,66.67,
2017,Portland Trailblazers,C.J. McCollum,32.20,
2017,Portland Trailblazers,Noah Vonleh,27.51,
2017,Portland Trailblazers,Mason Plumlee,23.29,
2017,Portland Trailblazers,Anderson Varejao,19.84,
2017,Portland Trailblazers,Shabazz Napier,13.50,
2017,Portland Trailblazers,Pat Connaughton,8.75,
2017,Portland Trailblazers,Tim Quarterman,5.43,
2017,Sacramento Kings,DeMarcus Cousins,169.58,
2017,Sacramento Kings,Rudy Gay,133.33,
2017,Sacramento Kings,Arron Afflalo,125.00,
2017,Sacramento Kings,Kosta Koufos,80.47,
2017,Sacramento Kings,Anthony Tolliver,80.00,
2017,Sacramento Kings,Garrett Temple,80.00,
2017,Sacramento Kings,Matt Barnes,61.25,
2017,Sacramento Kings,Darren Collison,52.29,
2017,Sacramento Kings,Ben McLemore,40.09,
2017,Sacramento Kings,Willie Cauley-Stein,35.51,
2017,Sacramento Kings,Omri Casspi,29.64,
2017,Sacramento Kings,Jordan Farmar,13.44,
2017,Sacramento Kings,Ty Lawson,13.15,
2017,Sacramento Kings,Wayne Ellington,8.83,
2017,Sacramento Kings,Caron Butler,5.17,
2017,Sacramento Kings,Isaiah Cousins,1.00,
2017,Sacramento Kings,Lamar Patterson,1.00,
2017,Sacramento Kings,Jordan Farmar,0.17,
2017,San Antonio Spurs,LaMarcus Aldridge,205.75,
2017,San Antonio Spurs,Kawhi Leonard,176.38,
2017,San Antonio Spurs,Pau Gasol,155.00,
2017,San Antonio Spurs,Tony Parker,144.45,
2017,San Antonio Spurs,Manu Ginobili,140.00,
2017,San Antonio Spurs,Danny Green,100.00,
2017,San Antonio Spurs,Patty Mills,35.79,
2017,San Antonio Spurs,Dewayne Dedmon,28.98,
2017,San Antonio Spurs,Tim Duncan,18.81,
2017,San Antonio Spurs,David Lee,15.52,
2017,San Antonio Spurs,Kyle Anderson,11.92,
2017,San Antonio Spurs,Livio Jean-Charles,11.89,
2017,San Antonio Spurs,Jonathon Simmons,8.75,
2017,San Antonio Spurs,Bryn Forbes,5.43,
2017,San Antonio Spurs,Davis Bertans,5.43,
2017,San Antonio Spurs,Nicolas Laprovittola,5.43,
2017,San Antonio Spurs,Patricio Garino,1.00,
2017,San Antonio Spurs,Ryan Arcidiacono,0.75,
2017,Toronto Raptors,DeMar DeRozan,265.40,
2017,Toronto Raptors,Jonas Valanciunas,143.82,
2017,Toronto Raptors,DeMarre Carroll,142.00,
2017,Toronto Raptors,Kyle Lowry,120.00,
2017,Toronto Raptors,Terrence Ross,100.00,
2017,Toronto Raptors,Cory Joseph,73.15,
2017,Toronto Raptors,Patrick Patterson,60.50,
2017,Toronto Raptors,Jared Sullinger,56.28,
2017,Toronto Raptors,Lucas Nogueira,19.21,
2017,Toronto Raptors,Bruno Caboclo,15.90,
2017,Toronto Raptors,Delon Wright,15.77,
2017,Toronto Raptors,Norman Powell,8.75,
2017,Toronto Raptors,Fred VanVleet,5.43,
2017,Toronto Raptors,Brady Heslip,0.57,
2017,Toronto Raptors,E.J. Singler,0.50,
2017,Toronto Raptors,Jarrod Uthoff,0.50,
2017,Toronto Raptors,Yanick Moreira,0.50,
2017,Utah Jazz,Gordon Hayward,160.73,
2017,Utah Jazz,Derrick Favors,110.50,
2017,Utah Jazz,Joe Johnson,110.00,
2017,Utah Jazz,Alec Burks,101.54,
2017,Utah Jazz,George Hill,80.00,
2017,Utah Jazz,Boris Diaw,70.00,
2017,Utah Jazz,Dante Exum,39.40,
2017,Utah Jazz,Shelvin Mack,24.33,
2017,Utah Jazz,Trey Lyles,23.41,
2017,Utah Jazz,Joe Ingles,21.50,
2017,Utah Jazz,Rudy Gobert,21.21,
2017,Utah Jazz,Rodney Hood,14.07,
2017,Utah Jazz,Jeff Withey,10.16,
2017,Utah Jazz,Raul Neto,9.38,
2017,Utah Jazz,Marcus Paige,1.25,
2017,Utah Jazz,Henry Sims,0.75,
2017,Utah Jazz,Quincy Ford,0.75,
2017,Washington Wizards,Bradley Beal,221.17,
2017,Washington Wizards,John Wall,169.58,
2017,Washington Wizards,Ian Mahinmi,159.44,
2017,Washington Wizards,Marcin Gortat,120.00,
2017,Washington Wizards,Markieff Morris,74.00,
2017,Washington Wizards,Andrew Nicholson,60.89,
2017,Washington Wizards,Otto Porter,58.94,
2017,Washington Wizards,Jason Smith,50.00,
2017,Washington Wizards,Trey Burke,33.87,
2017,Washington Wizards,Tomas Satoransky,28.71,
2017,Washington Wizards,Kelly Oubre,20.07,
2017,Washington Wizards,Marcus Thornton,13.15,
2017,Washington Wizards,Martell Webster,8.33,
2017,Washington Wizards,Daniel Ochefu,5.43,
2017,Washington Wizards,Danuel House,5.43,
2017,Washington Wizards,Sheldon Mac,5.43,
2017,Washington Wizards,Jarell Eddie,1.75,
2016,Atlanta Hawks,Paul Millsap,186.72,
2016,Atlanta Hawks,Al Horford,120.00,
2016,Atlanta Hawks,Tiago Splitter,97.56,
2016,Atlanta Hawks,Jeff Teague,80.00,
2016,Atlanta Hawks,Kyle Korver,57.46,
2016,Atlanta Hawks,Thabo Sefolosha,40.00,
2016,Atlanta Hawks,Mike Scott,33.33,
2016,Atlanta Hawks,Kirk Hinrich,28.55,
2016,Atlanta Hawks,Kent Bazemore,20.00,
2016,Atlanta Hawks,Dennis Schroder,17.63,
2016,Atlanta Hawks,Tim Hardaway,13.05,
2016,Atlanta Hawks,Kris Humphries,10.00,
2016,Atlanta Hawks,Edy Tavares,10.00,
2016,Atlanta Hawks,Mike Muscala,9.47,
2016,Atlanta Hawks,Lamar Patterson,5.25,
2016,Boston Celtics,David Lee,150.35,
2016,Boston Celtics,Amir Johnson,120.00,
2016,Boston Celtics,Avery Bradley,77.30,
2016,Boston Celtics,Isaiah Thomas,69.13,
2016,Boston Celtics,Jae Crowder,67.96,
2016,Boston Celtics,Jonas Jerebko,50.00,
2016,Boston Celtics,Marcus Smart,34.31,
2016,Boston Celtics,Evan Turner,34.25,
2016,Boston Celtics,Tyler Zeller,26.17,
