Date,Close
1985,1286.77
1985,1284.01
1985,1266.78
1985,1258.06
1985,1315.41
1985,1335.46
1985,1347.45
1985,1334.01
1985,1328.63
1985,1374.31
1985,1472.13
1985,1546.67
1986,1570.99
1986,1709.06
1986,1818.61
1986,1783.98
1986,1876.71
1986,1892.72
1986,1775.31
1986,1898.34
1986,1767.58
1986,1877.71
1986,1914.23
1986,1895.95
1987,2158.04
1987,2223.99
1987,2304.69
1987,2286.36
1987,2291.57
1987,2418.53
1987,2572.07
1987,2662.95
1987,2596.28
1987,1993.53
1987,1833.55
1987,1938.83
1988,1958.22
1988,2071.62
1988,1988.06
1988,2032.33
1988,2031.12
1988,2141.71
1988,2128.73
1988,2031.65
1988,2112.91
1988,2148.65
1988,2114.51
1988,2168.57
1989,2342.32
1989,2258.39
1989,2293.62
1989,2418.80
1989,2480.15
1989,2440.06
1989,2660.66
1989,2737.27
1989,2692.82
1989,2645.08
1989,2706.27
1989,2753.20
1990,2590.54
1990,2627.25
1990,2707.21
1990,2656.76
1990,2876.66
1990,2880.69
1990,2905.20
1990,2614.36
1990,2452.48
1990,2442.33
1990,2559.65
1990,2633.66
1991,2736.39
1991,2882.18
1991,2913.86
1991,2887.87
1991,3027.50
1991,2906.75
1991,3024.82
1991,3043.60
1991,3016.77
1991,3069.10
1991,2894.68
1991,3168.83
1992,3223.40
1992,3267.70
1992,3235.50
1992,3359.10
1992,3396.90
1992,3318.50
1992,3393.80
1992,3257.40
1992,3271.70
1992,3226.30
1992,3305.20
1992,3301.11
1993,3310.00
1993,3370.81
1993,3435.11
1993,3427.55
1993,3527.43
1993,3516.08
1993,3539.47
1993,3651.25
1993,3555.12
1993,3680.59
1993,3683.95
1993,3754.09
1994,3978.36
1994,3832.02
1994,3635.96
1994,3681.69
1994,3758.37
1994,3624.96
1994,3764.50
1994,3913.42
1994,3843.19
1994,3908.12
1994,3739.23
1994,3834.44
1995,3843.86
1995,4011.05
1995,4157.69
1995,4321.27
1995,4465.14
1995,4556.10
1995,4708.47
1995,4610.56
1995,4789.08
1995,4755.48
1995,5074.49
1995,5117.12
1996,5395.30
1996,5485.62
1996,5587.14
1996,5569.08
1996,5643.18
1996,5654.63
1996,5528.91
1996,5616.21
1996,5882.17
1996,6029.38
1996,6521.70
1996,6448.27
1997,6813.09
1997,6877.74
1997,6583.48
1997,7009.00
1997,7331.00
1997,7672.80
1997,8222.60
1997,7622.40
1997,7945.30
1997,7442.10
1997,7823.10
1997,7908.30
1998,7906.50
1998,8545.72
1998,8799.81
1998,9063.37
1998,8899.95
1998,8952.02
1998,8883.29
1998,7539.07
1998,7842.62
1998,8592.10
1998,9116.55
1998,9181.43
1999,9358.83
1999,9306.58
1999,9786.16
1999,10789.04
1999,10559.74
1999,10970.80
1999,10655.15
1999,10829.28
1999,10336.95
1999,10729.86
1999,10877.81
1999,11497.12
2000,10940.53
2000,10128.31
2000,10921.92
2000,10733.91
2000,10522.33
2000,10447.89
2000,10521.98
2000,11215.10
2000,10650.92
2000,10971.14
2000,10414.49
2000,10787.99
2001,10887.36
2001,10495.28
2001,9878.78
2001,10734.97
2001,10911.94
2001,10502.40
2001,10522.81
2001,9949.75
2001,8847.56
2001,9075.14
2001,9851.56
2001,10021.57
2002,9920.00
2002,10106.13
2002,10403.94
2002,9946.22
2002,9925.25
2002,9243.26
2002,8736.59
2002,8663.50
2002,7591.93
2002,8397.03
2002,8896.09
2002,8341.63
2003,8053.81
2003,7891.08
2003,7992.13
2003,8480.09
2003,8850.26
2003,8985.44
2003,9233.80
2003,9415.82
2003,9275.06
2003,9801.12
2003,9782.46
2003,10453.92
2004,10488.07
2004,10583.92
2004,10357.70
2004,10225.57
2004,10188.45
2004,10435.48
2004,10139.71
2004,10173.92
2004,10080.27
2004,10027.47
2004,10428.02
2004,10783.01
2005,10489.94
2005,10766.23
2005,10503.76
2005,10192.51
2005,10467.48
2005,10274.97
2005,10640.91
2005,10481.60
2005,10568.70
2005,10440.07
2005,10805.87
2005,10717.50
2006,10864.86
2006,10993.41
2006,11109.32
2006,11367.14
2006,11168.31
2006,11150.22
2006,11185.68
2006,11381.15
2006,11679.07
2006,12080.73
2006,12221.93
2006,12463.15
2007,12621.69
2007,12268.63
2007,12354.35
2007,13062.91
2007,13627.64
2007,13408.62
2007,13211.99
2007,13357.74
2007,13895.63
2007,13930.01
2007,13371.72
2007,13264.82
