Year,Revenue (Billions USD)
2005,2.27
2006,2.44
2007,2.75
2008,2.82
2009,2.93
2010,3.09
2011,3.37
2012,2.63
2013,3.7
2014,3.98
2015,4.1
2016,4.43
2017,4.86
